model,RMSE,MAE,MAPE,DirectionAcc
ARIMA,22453.106047877354,18911.981600535924,19.618145275298822,0.03368421052631579
SARIMA,23394.480200796665,20819.368319852198,23.463053456534052,0.4968421052631579
