Date,price,signal,position,daily_return,strategy_return,equity,buy_hold_equity
2025-04-08,76271.953125,1,0.0,0.0,0.0,10000.0,10000.0
2025-04-09,82573.953125,0,1.0,0.0826253916648998,0.0816253916648998,10816.253916648999,10826.253916648999
2025-04-10,79626.140625,0,0.0,-0.0356990599146636,-0.001,10805.437662732349,10439.766829427184
2025-04-11,83404.8359375,0,0.0,0.04745546227457886,0.0,10805.437662732349,10935.190790356466
2025-04-12,85287.109375,0,0.0,0.022567917271733462,0.0,10805.437662732349,11181.975271463853
2025-04-13,83684.9765625,0,0.0,-0.01878516957885823,-0.0,10805.437662732349,10971.919969762805
2025-04-14,84542.390625,0,0.0,0.010245734631468162,0.0,10805.437662732349,11084.3353501707
2025-04-15,83668.9921875,0,0.0,-0.01033089354397465,-0.0,10805.437662732349,10969.82426166237
2025-04-16,84033.8671875,0,0.0,0.004360934564412222,0.0,10805.437662732349,11017.66294745058
2025-04-17,84895.75,0,0.0,0.01025637449930672,0.0,10805.437662732349,11130.664224746772
2025-04-18,84450.8046875,0,0.0,-0.005241078764249063,-0.0,10805.437662732349,11072.327536846464
2025-04-19,85063.4140625,0,0.0,0.007254038339443714,0.0,10805.437662732349,11152.646625305626
2025-04-20,85174.3046875,0,0.0,0.0013036230231544543,0.0,10805.437662732349,11167.185472215482
2025-04-21,87518.90625,0,0.0,0.027527099529631727,0.0,10805.437662732349,11474.585698175015
2025-04-22,93441.890625,0,0.0,0.06767662701452015,0.0,10805.437662732349,12251.146954616552
2025-04-23,93699.109375,0,0.0,0.0027527134594511615,0.0,10805.437662732349,12284.87085173224
2025-04-24,93943.796875,0,0.0,0.0026114175645013393,0.0,10805.437662732349,12316.951779252084
2025-04-25,94720.5,0,0.0,0.008267742531563593,0.0,10805.437662732349,12418.785165336623
2025-04-26,94646.9296875,0,0.0,-0.0007767095032226168,-0.0,10805.437662732349,12409.139376880226
2025-04-27,93754.84375,0,0.0,-0.00942540809771053,-0.0,10805.437662732349,12292.178174111761
2025-04-28,94978.75,0,0.0,0.013054325526514532,0.0,10805.437662732349,12452.644269426533
2025-04-29,94284.7890625,0,0.0,-0.007306486319308303,-0.0,10805.437662732349,12361.659194432757
2025-04-30,94207.3125,0,0.0,-0.0008217291810309613,-0.0,10805.437662732349,12351.50125834673
2025-05-01,96492.3359375,0,0.0,0.02425526614507767,0.0,10805.437662732349,12651.090208659192
2025-05-02,96910.0703125,0,0.0,0.0043291974532626565,0.0,10805.437662732349,12705.859276171515
2025-05-03,95891.796875,0,0.0,-0.010507405827035687,-0.0,10805.437662732349,12572.353656375577
2025-05-04,94315.9765625,0,0.0,-0.016433317174712747,-0.0,10805.437662732349,12365.748181107696
2025-05-05,94748.0546875,0,0.0,0.0045811763897039,0.0,10805.437662732349,12422.397854716011
2025-05-06,96802.4765625,0,0.0,0.02168299794413664,0.0,10805.437662732349,12691.752681861066
2025-05-07,97032.3203125,0,0.0,0.0023743581586117557,0.0,10805.437662732349,12721.887448388325
2025-05-08,103241.4609375,0,0.0,0.06399043746457878,0.0,10805.437662732349,13535.966591585828
2025-05-09,102970.8515625,0,0.0,-0.002621130818400763,-0.0,10805.437662732349,13500.48705239578
2025-05-10,104696.328125,0,0.0,0.016756941758927724,0.0,10805.437662732349,13726.713927649935
2025-05-11,104106.359375,0,0.0,-0.005635047193781384,-0.0,10805.437662732349,13649.36324685209
2025-05-12,102812.953125,0,0.0,-0.01242389281274392,-0.0,10805.437662732349,13479.785020910995
2025-05-13,104169.8125,0,0.0,0.013197358248725033,0.0,10805.437662732349,13657.682572947755
2025-05-14,103539.4140625,0,0.0,-0.006051642240404331,-0.0,10805.437662732349,13575.03116418327
2025-05-15,103744.640625,0,0.0,0.00198211052629782,0.0,10805.437662732349,13601.938376348618
2025-05-16,103489.2890625,0,0.0,-0.0024613470244020386,-0.0,10805.437662732349,13568.459285799894
2025-05-17,103191.0859375,0,0.0,-0.0028814878109744146,-0.0,10805.437662732349,13529.361935754157
2025-05-18,106446.0078125,0,0.0,0.03154266519659865,0.0,10805.437662732349,13956.114069617259
2025-05-19,105606.1796875,0,0.0,-0.007889709931436006,-0.0,10805.437662732349,13846.004377837946
2025-05-20,106791.0859375,0,0.0,0.011220046530480143,0.0,10805.437662732349,14001.35719121852
2025-05-21,109678.078125,0,0.0,0.027034018449719976,0.0,10805.437662732349,14379.87013984704
2025-05-22,111673.28125,0,0.0,0.018191448638679386,0.0,10805.437662732349,14641.460808926948
2025-05-23,107287.796875,0,0.0,-0.03927066820202352,-0.0,10805.437662732349,14066.480859506648
2025-05-24,107791.15625,0,0.0,0.004691674073487251,0.0,10805.437662732349,14132.4762030604
2025-05-25,109035.390625,0,0.0,0.011543009819045436,0.0,10805.437662732349,14295.607514639752
2025-05-26,109440.3671875,0,0.0,0.003714175371671846,0.0,10805.437662732349,14348.703907993713
2025-05-27,108994.640625,0,0.0,-0.004072780217708405,-0.0,10805.437662732349,14290.264790567482
2025-05-28,107802.328125,0,0.0,-0.010939184653144474,-0.0,10805.437662732349,14133.940945281136
2025-05-29,105641.7578125,0,0.0,-0.020041963379443528,-0.0,10805.437662732349,13850.669018448594
2025-05-30,103998.5703125,0,0.0,-0.015554336978341854,-0.0,10805.437662732349,13635.231045160166
2025-05-31,104638.09375,0,0.0,0.006149348357177731,0.0,10805.437662732349,13719.078830787459
